Id;Health Service;Full Upload;Health System;Owner
Pharmacy-VA Eastern Colorado health care;'Pharmacy';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>Our pharmacy provides you and other Veterans with convenient, efficient service to make it easy to get your medications and medical supplies. You can:</p> <ul><li>Pick up new prescriptions in person</li><li>Refill prescriptions online and by phone or mail</li><li>Safely dispose of medicines </li></ul>Learn more about our pharmacy';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Physical medicine and rehabilitation-VA Eastern Colorado health care;'Physical medicine and rehabilitation';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>Our physical medicine and rehabilitation doctors and therapists focus on whole-body health. They can help you manage your pain, increase your independence, and improve your quality of life with services like:</p> <ul><li>Personalized therapy for your rehabilitation</li><li>Medication, stretching, and massage for short-term pain relief</li><li>Strengthening exercises and movement therapy to increase fitness and prevent future pain</li><li>Recreation therapy to create coping and social skills</li><li>Occupational therapy to improve coordination and balance, and help you manage life skills and everyday activities</li><li>Assessment and treatment of speech, language, and swallowing disorders </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Physical therapy, occupational therapy and kinesiotherapy-VA Eastern Colorado health care;'Physical therapy, occupational therapy and kinesiotherapy';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>If you’re living with or recovering from an injury, illness, or chronic condition that limits your mobility and independence, we can help. Our physical, occupational, and movement therapists combine therapeutic exercise, counseling, education, and training to help you improve your health and quality of life. Our services include:</p> <ul><li>Pain relief and joint mobilization</li><li>Movement and exercise therapies to improve your strength, endurance, balance, and coordination</li><li>Mobility assessment and training with wheelchairs, scooters, and walking devices</li><li>Life skills training and activities to help you maintain the highest level of independence and functionality</li><li>Aquatic therapy to manage chronic pain</li><li>Evaluation and treatment for a wide range of medical, orthopedic, psychosocial, and neurological conditions </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Plastic and reconstructive surgery-VA Eastern Colorado health care;'Plastic and reconstructive surgery';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>Our plastic and reconstructive surgeons perform surgery to improve body function, or correct facial and body abnormalities caused by birth defects, injury, disease, or aging. We also perform cosmetic surgery to create a more normal appearance and improve self-esteem. Our services include:</p> <ul><li>Surgical repair of congenital deformities such as cleft lips and palates</li><li>Skin cancer surgery to remove malignant moles, lesions, and tumors from your skin</li><li>Breast reduction and reconstruction surgery</li><li>Skin grafts to treat burns, injuries, or illnesses, which involves removing skin from one part of your body and grafting it to another</li><li>Nasal reconstruction surgery to change the shape of your nose </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Podiatry-VA Eastern Colorado health care;'Podiatry';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>After years of walking, running, marching, jumping, rappelling, and parachuting, many Veterans experience trouble with their feet and ankles. We can help treat those problems so you can continue to enjoy an active lifestyle. Our podiatry services include:</p> <ul><li>Arthritis care for inflamed, swollen, or damaged joints</li><li>Foot and ankle fracture treatment: repair of cartilage, torn tendons and ligaments</li><li>Injections to reduce pain and swelling</li><li>Joint arthroplasty (surgical repair or reconstruction) and replacement</li><li>Minimally invasive surgery and post-surgical rehabilitation</li><li>Foot health maintenance procedures (bunion removal, resurfacing, and nail trimming) </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Polytrauma and traumatic brain injury-VA Eastern Colorado health care;'Polytrauma and traumatic brain injury';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>Our specialized rehabilitation program network serves severely injured Veterans and service members who have multiple combat- or civilian-related traumatic injuries. We offer:</p> <ul><li>Physical, visual, and cognitive rehabilitation</li><li>State-of-the-art prosthetics</li><li>Psychological and psychosocial services</li><li>Ongoing case management services </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Primary care-VA Eastern Colorado health care;'Primary care';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>A strong network of family and internal medicine specialists and services can offer you the best possible care. Internal medicine doctors (internists) prevent, diagnose, and treat adult diseases. Doctors who specialize in family medicine provide primary health care to the entire family. Your primary care team can coordinate the many services you receive such as:</p> <ul><li>Labs and blood work</li><li>Mental health care</li><li>Women's health care</li><li>Radiology</li><li>Social services</li><li>Telehealth </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Psychiatry-VA Eastern Colorado health care;'Psychiatry';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>Good mental health is a vital part of your overall wellness. Our psychiatry teams offer consultation, evaluation, and treatment to help you with a range of mental and behavioral health problems, including:</p> <ul><li>Depression (including sadness and grief), anxiety (including worry and nervousness), and personality disorders</li><li>Addictive behaviors and substance abuse</li><li>Posttraumatic stress disorder (PTSD) and combat-related stress disorder</li><li>Emotional issues like anger management and relationship challenges, confused thinking, memory problems, and invasive thoughts or ideas</li><li>Aggressive or self-harming behaviors </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Psychology-VA Eastern Colorado health care;'Psychology';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>Our psychology teams offer consultation, evaluation, and treatment to help with a range of mental and behavioral health problems like:</p> <ul><li>Depression (including sadness and grief), anxiety (including worry and nervousness), and personality disorders</li><li>Addictive behaviors and substance abuse</li><li>Posttraumatic stress disorder (PTSD) and combat-related stress disorder</li><li>Emotional issues like anger management and relationship challenges</li><li>Confused thinking, memory problems, and invasive thoughts or ideas</li><li>Aggressive or self-harming behaviors </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Pulmonary medicine-VA Eastern Colorado health care;'Pulmonary medicine';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>If you find it difficult to breathe or sleep, our pulmonary (lung) specialists can help. We offer education, exercises, and treatments like:</p> <ul><li>Oxygen therapy to help you stay active and breathe better</li><li>Pulmonary rehabilitation to build your strength and increase lung capacity</li><li>Healthy diets to help you manage your weight and improve energy</li><li>Strategies to help you increase your feelings of control, optimism, and self-esteem</li><li>Tests to measure your lung function, lung volume, and blood gas </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Radiology-VA Eastern Colorado health care;'Radiology';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>We offer radiology and imaging services to diagnose and treat many medical conditions. Our services include:</p> <ul><li>X-ray</li><li>Ultrasound</li><li>Mammography (mammograms)</li><li>Computer tomography (CT)</li><li>Positron emission tomography (PET)</li><li>Magnetic resonance imaging (MRI) </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Recreation and creative arts therapy-VA Eastern Colorado health care;'Recreation and creative arts therapy';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>Our therapies promote your independence and enhance your health and well-being if you’re a Veteran with an injury, chronic (long-lasting) illness, or disabling condition. After your primary health care provider gives you a referral, a recreation therapist will develop treatment goals for you.</p> <ul><li>Recreation and creative arts therapy provides services and activities that include:</li><li>Animal interaction</li><li>Music, art, and crafts</li><li>Community outings</li><li>Exercise, sports, and games</li><li>Gardening and leisure education </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Registry exams-VA Eastern Colorado health care;'Registry exams';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>This free, voluntary, and comprehensive health exam involves an exposure and medical history, laboratory tests, and a physical exam. We will discuss your results in a face-to-face meeting and follow up with a letter. The registry evaluation, which does not verify exposure, is separate from VA’s disability compensation process. You may be eligible to participate in one or more of these health registries if you served during these time periods:</p> <ul><li>Ionizing radiation (1940s to 1960s)</li><li>Agent Orange (1960s and 1970s)</li><li>Airborne hazards and open burn pit (1990s to present)</li><li>Gulf War (1990s to present)</li><li>Depleted uranium (DU) (1990s to present)</li><li>Toxic embedded fragments/shrapnel (2000s to present) </li></ul>Learn more about <a href="https://www.publichealth.va.gov/exposures/benefits/registry-evaluation.asp">VA Health Registry</a>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Rehabilitation and prosthetics-VA Eastern Colorado health care;'Rehabilitation and prosthetics';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>VA is the world’s largest and most comprehensive provider of sensory aides and prosthetic devices. Veterans enrolled in the VA health care system and referred by a physical medicine and rehabilitation physician can receive a full range of services and equipment like:</p> <ul><li>Artificial limbs and surgical implants, including artificial joints and pacemakers</li><li>Wheelchairs and other medical devices</li><li>Aids for Veterans who are blind, have low vision, or are hearing impaired</li><li>Adaptive equipment and modifications to make your vehicle or home more accessible</li><li>Other devices and services to help increase your mobility, dignity, and independence</li><li>Clothing allowance for Veterans with devices that damage their clothing </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Returning service member care-VA Eastern Colorado health care;'Returning service member care';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>At VA <<insert facility name>> health care, we can help you readjust to civilian life if you’re returning from military service, on active duty, or an activated National Guard or Reserve member. Talk to one of our care coordinators about how to best use your health care benefits.</p> <ul><li>Polytrauma care (if you have multiple traumatic injuries)</li><li>Counseling and rehabilitation</li><li>Mental and behavioral health services</li><li>Family benefits counseling and assistance</li><li>Referral assistance </li></ul>Learn more and connect with a coordinator';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Suicide prevention-VA Eastern Colorado health care;'Suicide prevention';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>We work with behavioral health providers and community organizations to help you and your family during times of crisis. We offer:</p> <ul><li>Suicide prevention care coordinators</li><li>Suicide prevention case managers</li><li>Gun safety locks</li><li>Learn more and connect with a care coordinator. (Link to Suicide Prevention page) </li></ul>Learn more and connect with a care coordinator';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Surgery-VA Eastern Colorado health care;'Surgery';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>We provide a wide range of surgical services, like:</p> <ul><li>General surgery</li><li>Anesthesia</li><li>Cardiac surgery (heart and major blood vessels)</li><li>Neurosurgery (brain, spinal column, and nerves)</li><li>Orthopedic surgery (bones, muscles, ligaments, joints, and tendons)</li><li>Organ and tissue transplants </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Telehealth-VA Eastern Colorado health care;'Telehealth';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>We use the latest in secure digital technology to set up remote visits with our health care providers. We offer video conferencing, home telehealth services, and store-and-forward telehealth that lets you securely send your health information to experts at VA facilities. We offer telehealth visits with providers in:</p> <ul><li>Mental health</li><li>Retinal care (eye)</li><li>Bariatric surgery (visit remotely with your weight-loss surgery team before and after your operation)</li><li>Dermatology</li><li>Rehabilitation</li><li>Primary care </li></ul>Learn more about <a href="https://www.telehealth.va.gov">telehealth</a>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Thoracic surgery-VA Eastern Colorado health care;'Thoracic surgery';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>Our thoracic surgeons provide state-of-the-art surgical techniques and cancer therapies that focus on your lungs and other organs of the chest. Many of our thoracic treatments also address problems with your esophagus (the tube that connects your mouth and stomach), your trachea (airway), and your chest wall (rib cage and breastbone). We treat a variety of conditions that include:</p> <ul><li>Lung cancer and cancer of the esophagus</li><li>Benign chest and lung tumors</li><li>Pleural illnesses, like pneumothorax (collapsed lung) and infections of the pleura (the thin membrane that lines the chest wall and covers the lungs)</li><li>Achalasia, which occurs when nerve damage prevents your esophagus from pushing food into your stomach)</li><li>Gastroesophageal reflux disease, or acid reflux, which occurs when stomach acid frequently flows back into your esophagus and irritates the lining</li><li>Diseases of the thymus, a small organ beneath your breastbone that produces cells that support your immune system and fight cancer </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Travel reimbursement-VA Eastern Colorado health care;'Travel reimbursement';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>If you’re traveling for VA-approved care, we can repay you for the cost of using regular transportation that includes cars, planes, trains, buses, taxis, rideshare, or light rail. You may also be eligible for repayment when using ambulances, wheelchair vans, or ambulettes (non-emergency medical transportation).</p> <ul><li>Round-trip transportation services between your home and our hospital and clinics (beneficiary travel)</li><li>Mileage reimbursement debit cards </li></ul>Learn more about<a href="https://www.va.gov/HealthBenefits/vtp/Beneficiary_Travel.asp">VA travel pay reimbursement</a>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Urology-VA Eastern Colorado health care;'Urology';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>We evaluate, diagnose, and treat a wide range of urology diseases and conditions that include kidney stones, erectile dysfunction, urinary incontinence, prostate cancer, and more. We provide you with medical care, surgery, and minimally invasive procedures for health issues that affect:</p> <ul><li>Kidneys</li><li>Bladder</li><li>Ureter and urethra</li><li>Male reproductive organs </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Vascular surgery-VA Eastern Colorado health care;'Vascular surgery';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>Our vascular surgeons treat illnesses of your arteries and veins. Our surgeons can treat these problems with medication and exercise. Vascular illness causes include atherosclerosis caused by the buildup of plaque in your arteries: blockage by a blood clot or fatty deposit: inflammation, (vasculitis): and trauma or injury</p> <ul><li>Arteriosclerosis (caused by the buildup of plaque in your arteries that restricts blood flow to your organs and tissues)</li><li>Aortic aneurysm and aortic valve disease</li><li>Deep vein thrombosis and other blood clots</li><li>Varicose veins</li><li>Vasculitis (inflammation of your blood vessels) </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Vocational rehabilitation and employment programs-VA Eastern Colorado health care;'Vocational rehabilitation and employment programs';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>We help Veterans with physical and mental health challenges find and keep jobs. We help you find jobs through our long-term partnerships with business, industry, and government agencies. We offer 3 services:</p> <ul><li>Transitional Work Program matches Veteran’s skills with a specific job and provides supervision to help them gain work experience</li><li>Supported Employment provides long-term support for Veterans with serious mental illnesses or physical disabilities to help them compete for jobs in their communities</li><li>Vocational Assistance trains Veterans living at our residential facility to improve their job-search and career development skills </li></ul>Learn more about <a href="https://www.va.gov/careers-employment/vocational-rehabilitation/">VA vocational rehabilitation</a>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Wheelchair and mobility-VA Eastern Colorado health care;'Wheelchair and mobility';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>We train you in the proper use of your wheelchair or other mobility devices to increase your wellness and improve your quality of life. Our team works with you to:</p> <ul><li>Optimize correct wheelchair seating and positioning</li><li>Achieve maximum function and independence</li><li>Promote good posture, breathing, digestion, and tissue health</li><li>Prevent complications and additional injuries </li></ul>';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Women Veteran care-VA Eastern Colorado health care;'Women Veteran care';'<h3>Care we provide at VA Eastern Colorado health care</h3> <p>Our women's health program offers complete health care for women Veterans of all ages. Our primary care providers specialize in women’s health. They work closely with specialists in gynecology, obstetrics, female urology, oncology, medicine, radiology, surgery, and breast illness. Our services for women Veterans include:</p> <ul><li>Ultrasounds, Mammograms, Pap and HPV tests</li><li>Mental health care and counseling</li><li>Lifestyle wellness services</li><li>Menopause treatment, including hormonal therapy</li><li>Family planning, contraceptive care, and infertility evaluation </li></ul>Learn more and connect with a care coordinator';'VA Eastern Colorado health care';'VA Eastern Colorado health care'
Addiction and substance abuse treatment-VA Montana health care;'Addiction and substance abuse treatment';'<h3>Care we provide at VA Montana health care</h3> <p>We help Veterans on their recovery journey through outpatient and inpatient services. Our residential facility helps Veterans deal with substance abuse, homelessness, mental health, and unemployment through its 24-hour therapeutic and educational programs like:</p> <ul><li>Rehabilitation</li><li>Health maintenance</li><li>Community support </li></ul>Learn more about our <a href="https://www.mentalhealth.va.gov/res-vatreatmentprograms.asp">VA treatment programs</a>';'VA Montana health care';'VA Montana health care'
Audiology and speech-VA Montana health care;'Audiology and speech';'<h3>Care we provide at VA Montana health care</h3> <p>Our Audiology and Speech Pathology clinic provides diagnostic and rehabilitative services, VA compensation and pension examinations, and screening for employee hearing conservation. We offer a full range of audiology and speech pathology services like:</p> <ul><li>Hearing and balance evaluations</li><li>Selection, management, and repair of hearing aids and assistive listening device assessments</li><li>Evaluation, programming, and management of cochlear implants and bone-anchored implants</li><li>Evaluation and treatment for auditory processing disorder</li><li>Services that help with speech, language, fluency, voice, cognitive communication, swallowing, stuttering, and laryngectomy (surgical removal of the larynx, which contains your vocal cords) </li></ul>Learn more about <a href="https://www.prosthetics.va.gov/psas/Hearing_Aids.asp">VA hearing aids</a>';'VA Montana health care';'VA Montana health care'
Cancer care-VA Montana health care;'Cancer care';'<h3>Care we provide at VA Montana health care</h3> <p>If you’re diagnosed with cancer, our team will work with you, your primary care doctor, and other health care providers to develop a specialized treatment plan. We offer personal, compassionate, and expert care, with services like:</p> <ul><li>Surgical removal of tumors and other cancerous tissue</li><li>Immunotherapy, which helps your body’s natural defenses destroy cancer cells</li><li>Chemotherapy, which uses powerful drugs to fight cancer</li><li>Radiotherapy, which uses high-energy radiation to kill cancer cells and shrink tumors</li><li>Palliative care, to reduce pain and control other symptoms and side effects, like nausea </li></ul>';'VA Montana health care';'VA Montana health care'
Cardiology-VA Montana health care;'Cardiology';'<h3>Care we provide at VA Montana health care</h3> <p>We perform noninvasive and minimally invasive tests and procedures that check, support, and improve your heart health. We’ll work with you to develop a personalized treatment plan and treat you with the most effective medications. Our services include</p> <ul><li>Evaluating you for coronary heart disease, heart-valve disease, and heart defects</li><li>Determining how well blood flows through your heart vessels or find the cause of your heart failure</li><li>Treating your heart vessels with nonsurgical or minimally invasive operations that open and support them through balloon angioplasty or stent placement</li><li>Noninvasively monitoring you for changes in heart rhythm, using electrocardiograms (EKGs or ECGs), portable Holt monitors, or ultrasound</li><li>Performing surgical treatments like pacemaker implants or cardiac catheterization (inserting a long, thin tube into an artery or vein) </li></ul>';'VA Montana health care';'VA Montana health care'
Caregiver support-VA Montana health care;'Caregiver support';'<h3>Care we provide at VA Montana health care</h3> <p>If you’re a caregiver for a Veteran, you can get support by contacting one of our caregiver support coordinators. If the Veteran you care for was injured post-9/11, you may be eligible for even more services, including a stipend to help with expenses, training, and medical coverage if you aren’t already covered. For all caregivers, we can:</p> <ul><li>Help you get caregiver assistance available through VA</li><li>Provide progressive needs planning to help you manage degenerative conditions</li><li>Match you with services and benefits</li><li>Connect you with local resources and programs</li><li>Listen to you when you struggle</li><li>Provide you with additional help at home </li></ul>Learn more and connect with a support coordinator';'VA Montana health care';'VA Montana health care'
Chiropractic-VA Montana health care;'Chiropractic';'<h3>Care we provide at VA Montana health care</h3> <p>Chiropractic care restores, improves, and maintains your function, activity, and health. We work with your primary care doctor and other specialty care providers to provide a complete health care plan for you. We offer many treatments, like:</p> <ul><li>Spinal manipulative therapy to relieve pressure on your joints, reduce inflammation, and improve nerve function</li><li>Electrical stimulation therapy, which reduces pain by sending mild electrical pulses through your skin to help stimulate injured muscles or manipulate nerves</li><li>Soft-tissue mobilization, which uses gentle pressure or massage to relax tense muscles, reduce scar tissue, or stretch connective tissue </li></ul>';'VA Montana health care';'VA Montana health care'
Dental/oral surgery-VA Montana health care;'Dental/oral surgery';'<h3>Care we provide at VA Montana health care</h3> <p>If you’re eligible for VA dental care, we offer a full range of quality dental services like:</p> <ul><li>Routine exams and teeth cleaning</li><li>Restorative procedures, including fillings and crowns</li><li>Comprehensive surgical care, including extractions (pulling teeth) and oral cancer screening</li><li>Routine and advanced prosthodontic care, including bridges, dentures, and dental implants</li><li>Routine and advanced periodontal care, including root canals, gum treatments, and supporting bone care</li><li>Oral and facial reconstruction surgery to repair damage from traumatic injury or serious illness </li></ul>';'VA Montana health care';'VA Montana health care'
Emergency care-VA Montana health care;'Emergency care';'<h3>Care we provide at VA Montana health care</h3> <p>We provide emergency medical care 24 hours a day, every day. Our emergency room staff can help you with:</p> <ul><li>Life-threatening illnesses and injuries that require immediate attention</li><li>Urgent medical issues that must be treated right away</li><li>Psychiatric evaluations </li></ul>';'VA Montana health care';'VA Montana health care'
Extended care and rehabilitation-VA Montana health care;'Extended care and rehabilitation';'<h3>Care we provide at VA Montana health care</h3> <p>We provide long-term care to help you and your family when you’re dealing with a disability, chronic (long-lasting) illness, terminal illness, or serious health issues related to aging. Our long-term health care services include:</p> <ul><li>24/7 nursing and medical care</li><li>Physical therapy</li><li>Help with daily tasks like bathing, dressing, making meals, and taking medicine</li><li>Pain management and palliative care to relieve suffering and improve quality of life for people with serious illnesses</li><li>Hospice care to provide comfort and compassionate care for people in the last phases of an incurable illness</li><li>To learn more about the different types of extended care that VA provides, see our guide to long-term services and support. </li></ul>Learn more about<a href="https://www.va.gov/GERIATRICS/">VA long term care</a>';'VA Montana health care';'VA Montana health care'
Gastroenterology-VA Montana health care;'Gastroenterology';'<h3>Care we provide at VA Montana health care</h3> <p>We diagnose and treat medical conditions in your esophagus, stomach, intestines, colon, and other parts of your digestive system. We can also test and treat other organs, like your liver, pancreas, and gallbladder. Our gastroenterology department provides services like:</p> <ul><li>Colonoscopy, esophagogastroduodenoscopy (EGD), and endoscopic retrograde cholangiopancreatography (ERCP), which use an endoscope (a long, flexible tube with a small camera on the end) that lets us examine your digestive system</li><li>Endoscopic ultrasound, which uses high-frequency sound waves to create images that help us diagnose and evaluate digestive and lung diseases</li><li>Manometry study, which tests how well your esophagus is working</li><li>Small bowel capsule endoscopy, which uses a tiny wireless camera that takes pictures as it moves through your digestive system</li><li>24-hour pH study, which measures how much stomach acid is flowing into your esophagus and helps us assess conditions like severe heartburn and acid reflux </li></ul>';'VA Montana health care';'VA Montana health care'
Geriatrics-VA Montana health care;'Geriatrics';'<h3>Care we provide at VA Montana health care</h3> <p>We assess your situation and condition to decide which outpatient geriatric services are right for you or a senior Veteran in your care, and then we coordinate your care. Our team of specialists provides geriatric services that include:</p> <ul><li>Medicine and nursing</li><li>Psychology, psychiatry, and social work</li><li>Physical and occupational therapy </li></ul>Learn more about<a href="https://www.va.gov/GERIATRICS/">VA long term care</a>';'VA Montana health care';'VA Montana health care'
Gynecology-VA Montana health care;'Gynecology';'<h3>Care we provide at VA Montana health care</h3> <p>Our gynecologists focus on the female reproductive system and provide services that include:</p> <ul><li>Mammograms for breast cancer, screenings for sexually transmitted disease, and Pap tests for cervical cancer</li><li>Counseling and treatment for contraception, pregnancy, and infertility</li><li>Osteoporosis screening for brittle bones</li><li>Exams for abnormal uterine bleeding, pelvic pain, or various cancers</li><li>Primary care checkups </li></ul>';'VA Montana health care';'VA Montana health care'
Hematology/oncology-VA Montana health care;'Hematology/oncology';'<h3>Care we provide at VA Montana health care</h3> <p>We offer a range of hematology and oncology services. You can arrange appointments and consultation through your primary care provider. Our hematology and oncology services include:</p> <ul><li>Chemotherapy</li><li>Blood and platelet transfusions</li><li>Mediport flushes to clean and maintain the small medical appliance inserted under your skin, making it easier to inject drugs and draw blood</li><li>Evaluation and treatment of blood disorders and cancer</li><li>Dedicated outpatient infusion center, working closely with radiation oncology, interventional radiology, general surgery, diagnostics, palliative care, and social services</li><li>Bone marrow biopsies, to see whether your bone tissue is healthy and making a normal number of blood cells </li></ul>';'VA Montana health care';'VA Montana health care'
Homeless Veteran care-VA Montana health care;'Homeless Veteran care';'<h3>Care we provide at VA Montana health care</h3> <p>We help homeless Veterans, or those at risk of becoming homeless due to financial hardship, unemployment, addiction, depression, or transition from jail. Contact one of our care coordinators to get help with:</p> <ul><li>Immediate food and shelter needs, including both transitional and permanent housing</li><li>Job training, life skills development, and education</li><li>Justice system navigation and community reentry from jail</li><li>Financial support to prevent homelessness</li><li>Addiction and depression treatment</li><li>Health and dental care </li></ul>Learn more and connect with a care coordinator';'VA Montana health care';'VA Montana health care'
Laboratory and pathology-VA Montana health care;'Laboratory and pathology';'<h3>Care we provide at VA Montana health care</h3> <p>Our laboratories provide a full range of clinical and diagnostic testing services. Our laboratory and pathology services include:</p> <ul><li>Study of blood, urine, and other bodily fluids for illness management</li><li>Testing for infectious diseases</li><li>Cytopathology (study of unusual cells) and surgical pathology (study of tissue removed during surgery)</li><li>Autopsy services </li></ul>';'VA Montana health care';'VA Montana health care'
LGBT Veteran care-VA Montana health care;'LGBT Veteran care';'<h3>Care we provide at VA Montana health care</h3> <p>We promote the health, welfare, and dignity of lesbian, gay, bisexual, and transgender (LGBT) Veterans and their families. We focus on ensuring a safe, welcoming, and affirmative environment when providing you with sensitive and high-quality health care services like:</p> <ul><li>Hormone therapy</li><li>Substance use and alcohol treatment</li><li>Testing and treatment for HIV and STIs (sexually transmitted infections)</li><li>Mental health care</li><li>Psychosocial assessments for gender-confirming surgeries and hormone therapy </li></ul>Learn more and connect with a care coordinator';'VA Montana health care';'VA Montana health care'
Low vision and blind rehabilitation-VA Montana health care;'Low vision and blind rehabilitation';'<h3>Care we provide at VA Montana health care</h3> <p>Our low vision outpatient clinic can assess your needs and provide a rehab plan tailored to your personal goals. Our team of specialists and social workers will work with you to find the right aids and services. Our clinic services include:</p> <ul><li>Comprehensive eye exams</li><li>Visual skills assessments</li><li>Guidance on how to develop visual motor and perceptual skills</li><li>Training to help you manage daily activities with your vision loss </li></ul>';'VA Montana health care';'VA Montana health care'
Mental health care-VA Montana health care;'Mental health care';'<h3>Care we provide at VA Montana health care</h3> <p>Our medical center and clinics provide consultation, evaluation, and treatment for a range of issues that may impact your mental health or emotional well-being. Our confidential outpatient services include individual and group therapy for:</p> <ul><li>Psychiatric disorders such as schizophrenia, bipolar disorder, and depression</li><li>Marriage and relationship problems</li><li>Posttraumatic stress disorder (PTSD)</li><li>Anxiety, addictive behaviors, and personality disorders</li><li>Aggressive or self-harming behaviors </li></ul>Learn more and connect with a care coordinator';'VA Montana health care';'VA Montana health care'
Minority Veteran care-VA Montana health care;'Minority Veteran care';'<h3>Care we provide at VA Montana health care</h3> <p>If you’re a minority Veteran, we can help you get the services and benefits you need. Our Minority Veterans Program serves all Veterans who are African American, Asian American, Hispanic American, and Native American (including American Indians, Alaska Natives, Native Hawaiians, and Pacific Island Americans). We work to:</p> <ul><li>Help the medical center address minority Veterans’ needs</li><li>Meet minority Veterans’ needs in the local community</li><li>Identify barriers and create a more accessible environment for minority Veterans</li><li>Inform minority Veterans of VA benefits, services, and programs </li></ul>Learn more and connect with a care coordinator';'VA Montana health care';'VA Montana health care'
Neurology-VA Montana health care;'Neurology';'<h3>Care we provide at VA Montana health care</h3> <p>We provide inpatient and outpatient services for chronic diseases and disorders that affect your brain, spine, and the nerves that connect them. Our neurologists read electroencephalogram (EEG) recordings, which measure the electrical impulses brain cells use to communicate with each other. We evaluate and treat many neurological illnesses and disorders such as:</p> <ul><li>Neuropathy (nerve damage), myelopathy and other spinal cord injuries, and radiculopathy (pinched nerves)</li><li>Parkinson’s disease, epilepsy, and multiple sclerosis</li><li>Stroke, dementia, and degenerative diseases</li><li>Other neurological conditions </li></ul>';'VA Montana health care';'VA Montana health care'
Neurosurgery-VA Montana health care;'Neurosurgery';'<h3>Care we provide at VA Montana health care</h3> <p>Although many people think of neurosurgery as brain surgery, it’s much more. Our neurosurgeons diagnose and treat a wide range of conditions related to your nervous system, like:</p> <ul><li>Brain, spinal cord, and spinal column injuries, illnesses, and disorders</li><li>Brain and spinal tumors</li><li>Neck pain and sciatica (nerve pain in your lower back hip, or leg)</li><li>Herniated disks and degenerative illnesses of the spine </li></ul>';'VA Montana health care';'VA Montana health care'
Nutrition, food, and dietary-VA Montana health care;'Nutrition, food, and dietary';'<h3>Care we provide at VA Montana health care</h3> <p>Our registered dietitians can help you maintain or improve your health with good nutrition tailored to your needs. Through group, individual, and telehealth sessions, we provide nutrition education and counseling in areas such as:</p> <ul><li>Cardiovascular and heart health</li><li>Chronic kidney disease</li><li>Diabetes (including gestational diabetes)</li><li>Eating disorders and digestive health</li><li>Pregnancy and postpartum nutrition</li><li>Weight management </li></ul>';'VA Montana health care';'VA Montana health care'
